Kalkulationsstruktur,Preiseinheit,ME,     Preis,Kalkulationslosgrî·e, Menge,BWME,Wert Gesamt,WÑhrung,Ressource,Fehlerstatus,Preisstrategie (Text),Kostenart (Text),Kennzeichen Baugruppe
Zuschlag MGK,,,0,,,,56.33,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
,,,,,,,,,,,,,
KÅhlgerÑt  BYF2-25-07535-400-1,1,ST,10529.42,0,1,ST,10529.42,CHF,CH10 10099021,,Bewertungspreis mit USER-EXIT,Zukaufteile,
Kabelsatz  +A3 Cooling unit,1,ST,37.93,0,1,ST,37.93,CHF,CH10 10168016,,Preis aus Einkaufsinfosatz,Zukaufteile,
Halter  (B),1,ST,100.03,5,1,ST,100.03,CHF,CH10 10172496,,,Eigenfertigung,X
,,,,,,,,,,,,,
Kleinkomponenten Schlosserei,1,H,64.8,0,0.02,H,1.3,CHF,21031201   21031201 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Kleinkomponenten Schlosserei,1,H,64.8,0,0.25,H,16.2,CHF,21031201   21031201 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Winkel,1,ST,15.99,5,1,ST,15.99,CHF,CH10 10172495,,,Eigenfertigung,X
,,,,,,,,,,,,,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0,H,0,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0.008,H,0.83,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Blechtafel  3x1500x3000 DD11,1,M2,39.28,0,0.268,M2,10.53,CHF,CH10 1301096,,Bewertungspreis mit USER-EXIT,Rohmaterial,
Abkanten Xpert 1,1,H,71.16,0,0.03,H,2.13,CHF,21032201   21032201 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Abkanten Xpert 1,1,H,71.16,0,0.01,H,0.71,CHF,21032201   21032201 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Zuschlag MGK,,,0,,,,0.82,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,0.96,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Seitenteil,1,ST,19.69,5,1,ST,19.69,CHF,CH10 10172494,,,Eigenfertigung,X
,,,,,,,,,,,,,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0,H,0,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0.01,H,1.04,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Blechtafel  3x1500x3000 DD11,1,M2,39.28,0,0.307,M2,12.06,CHF,CH10 1301096,,Bewertungspreis mit USER-EXIT,Rohmaterial,
Abkanten Xpert 1,1,H,71.16,0,0.03,H,2.13,CHF,21032201   21032201 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Abkanten Xpert 1,1,H,71.16,0,0.03,H,2.13,CHF,21032201   21032201 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Zuschlag MGK,,,0,,,,0.94,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,1.38,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Bodenblech,1,ST,16.34,5,1,ST,16.34,CHF,CH10 10172492,,,Eigenfertigung,X
,,,,,,,,,,,,,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0,H,0,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0.01,H,1.04,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Blechtafel  3x1500x3000 DD11,1,M2,39.28,0,0.196,M2,7.7,CHF,CH10 1301096,,Bewertungspreis mit USER-EXIT,Rohmaterial,
Abkanten Xpert 1,1,H,71.16,0,0.03,H,2.13,CHF,21032201   21032201 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Abkanten Xpert 1,1,H,71.16,0,0.045,H,3.2,CHF,21032201   21032201 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Zuschlag MGK,,,0,,,,0.6,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,1.66,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0.15,H,12.94,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Zusatzarbeiten,1,H,76.7,0,0,H,0,CHF,21040104   21040104 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
Malerei Zusatzarbeiten,1,H,76.7,0,0.1,H,7.67,CHF,21040104   21040104 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
Zuschlag PGK,,,0,,,,9.91,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Blech,1,ST,7.02,0,2,ST,14.04,CHF,CH10 10066850,,Preis aus Einkaufsinfosatz,Zukaufteile,
Endplatte  (B),1,ST,8.87,10,2,ST,17.75,CHF,CH10 10172481,,,Eigenfertigung,X
,,,,,,,,,,,,,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0,H,0,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0.02,H,2.09,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Blechtafel  2.0x1000x2000 AlMg1 HH14,1,M2,28.96,0,0.136,M2,3.94,CHF,CH10 1050102,,Preis aus Einkaufsinfosatz,Rohmaterial,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0.1,H,8.63,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Zuschlag MGK,,,0,,,,0.31,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,2.79,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Klemmplatte,1,ST,1.36,10,2,ST,2.73,CHF,CH10 10172484,,,Eigenfertigung,X
,,,,,,,,,,,,,
Laserzentrum ByVention,1,H,104.33,0,0,H,0,CHF,21032101   21032103 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Laserzentrum ByVention,1,H,104.33,0,0.016,H,1.67,CHF,21032101   21032103 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Blechtafel  2.0x1000x2000 AlMg1 HH14,1,M2,28.92,0,0.02,M2,0.58,CHF,CH10 1050102,,Preis aus Einkaufsinfosatz,Rohmaterial,
Zuschlag MGK,,,0,,,,0.05,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,0.43,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Filter  412 AU Fima G3 73x104,1,ST,2.67,0,2,ST,5.34,CHF,CH10 10172485,,Preis aus Einkaufsinfosatz,Zukaufteile,
Auflage,1,ST,164.2,0,1,ST,164.2,CHF,CH10 10172482,,Preis aus Einkaufsinfosatz,Zukaufteile,
Profil,1,ST,25.93,5,1,ST,25.93,CHF,CH10 10172490,,,Eigenfertigung,X
,,,,,,,,,,,,,
Kleinkomponenten Schlosserei,1,H,64.8,0,0.02,H,1.3,CHF,21031201   21031201 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Kleinkomponenten Schlosserei,1,H,64.8,0,0.1,H,6.48,CHF,21031201   21031201 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Profil,1,ST,13.05,5,1,ST,13.05,CHF,CH10 10172489,,,Eigenfertigung,X
,,,,,,,,,,,,,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0,H,0,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0.007,H,0.73,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
"Blechtafel  1,5x1500x3000 X5CrNi18-10",1,M2,34.09,0,0.135,M2,4.6,CHF,CH10 1700005,,Preis aus Einkaufsinfosatz,Rohmaterial,
Abkanten Xpert 1,1,H,71.16,0,0.05,H,3.56,CHF,21032201   21032201 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Abkanten Xpert 1,1,H,71.16,0,0.03,H,2.13,CHF,21032201   21032201 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Zuschlag MGK,,,0,,,,0.36,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,1.67,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Blech,1,ST,3.08,5,1,ST,3.08,CHF,CH10 10172488,,,Eigenfertigung,X
,,,,,,,,,,,,,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0,H,0,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0.005,H,0.52,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
"Blechtafel  1,5x1500x3000 X5CrNi18-10",1,M2,34.08,0,0.066,M2,2.25,CHF,CH10 1700005,,Preis aus Einkaufsinfosatz,Rohmaterial,
Zuschlag MGK,,,0,,,,0.18,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,0.14,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Zuschlag PGK,,,0,,,,2.02,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Profil,1,ST,21.54,5,1,ST,21.54,CHF,CH10 10172483,,,Eigenfertigung,X
,,,,,,,,,,,,,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0,H,0,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0.018,H,1.88,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
"Blechtafel  1,5x1500x3000 X5CrNi18-10",1,M2,34.08,0,0.29,M2,9.88,CHF,CH10 1700005,,Preis aus Einkaufsinfosatz,Rohmaterial,
Abkanten Xpert 1,1,H,71.16,0,0.05,H,3.56,CHF,21032201   21032201 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Abkanten Xpert 1,1,H,71.16,0,0.045,H,3.2,CHF,21032201   21032201 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Zuschlag MGK,,,0,,,,0.77,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,2.25,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Abdeckung  (B),1,ST,29.14,5,1,ST,29.14,CHF,CH10 10172497,,,Eigenfertigung,X
,,,,,,,,,,,,,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0,H,0,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0.01,H,1.04,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Blechtafel  2.0x1000x2000 AlMg1 HH14,1,M2,28.96,0,0.185,M2,5.36,CHF,CH10 1050102,,Preis aus Einkaufsinfosatz,Rohmaterial,
Abkanten Xpert 2,1,H,71.16,0,0.05,H,3.56,CHF,21032201   21032203 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Abkanten Xpert 2,1,H,71.16,0,0.045,H,3.2,CHF,21032201   21032203 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0.08,H,6.9,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Zusatzarbeiten,1,H,76.7,0,0,H,0,CHF,21040104   21040104 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
Malerei Zusatzarbeiten,1,H,76.7,0,0.05,H,3.84,CHF,21040104   21040104 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
Zuschlag MGK,,,0,,,,0.42,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,4.82,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Deckel  (B),1,ST,13.38,5,1,ST,13.38,CHF,CH10 10172500,,,Eigenfertigung,X
,,,,,,,,,,,,,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0,H,0,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0.015,H,1.56,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Blechtafel  2.0x1000x2000 AlMg1 HH14,1,M2,28.97,0,0.087,M2,2.52,CHF,CH10 1050102,,Preis aus Einkaufsinfosatz,Rohmaterial,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0.08,H,6.9,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Zuschlag MGK,,,0,,,,0.2,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,2.2,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Winkel,1,ST,4.24,20,1,ST,4.24,CHF,CH10 10139325,,,Eigenfertigung,X
,,,,,,,,,,,,,
Laserzentrum ByVention,1,H,104.33,0,0,H,0,CHF,21032101   21032103 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Laserzentrum ByVention,1,H,104.33,0,0.013,H,1.36,CHF,21032101   21032103 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Blechtafel  3.0x1000x2000 AlMg1 H1424,1,M2,47.61,0,0.01,M2,0.48,CHF,CH10 1050225,,Preis aus Einkaufsinfosatz,Rohmaterial,
Abkanten Xpert 2,1,H,71.16,0,0.008,H,0.53,CHF,21032201   21032203 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Abkanten Xpert 2,1,H,71.16,0,0.015,H,1.07,CHF,21032201   21032203 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Zuschlag MGK,,,0,,,,0.04,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,0.77,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Winkel,1,ST,4.24,20,1,ST,4.24,CHF,CH10 10139329,,,Eigenfertigung,X
,,,,,,,,,,,,,
Laserzentrum ByVention,1,H,104.33,0,0,H,0,CHF,21032101   21032103 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Laserzentrum ByVention,1,H,104.33,0,0.013,H,1.36,CHF,21032101   21032103 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Blechtafel  3.0x1000x2000 AlMg1 H1424,1,M2,47.61,0,0.01,M2,0.48,CHF,CH10 1050225,,Preis aus Einkaufsinfosatz,Rohmaterial,
Abkanten Xpert 2,1,H,71.16,0,0.008,H,0.53,CHF,21032201   21032203 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Abkanten Xpert 2,1,H,71.16,0,0.015,H,1.07,CHF,21032201   21032203 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Zuschlag MGK,,,0,,,,0.04,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,0.77,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Magnet  TL 288mm,1,ST,86.75,0,9,ST,780.72,CHF,CH10 10038453,,Preis aus Einkaufsinfosatz,Zukaufteile,
Faltenbalg  Y,1,ST,342.12,0,2,ST,684.23,CHF,CH10 10169509,,Preis aus Einkaufsinfosatz,Zukaufteile,
Abdeckung  (B),1,ST,11.06,5,1,ST,11.06,CHF,CH10 10179504,,,Eigenfertigung,X
,,,,,,,,,,,,,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0,H,0,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0.01,H,1.04,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Blechtafel  2.0x1000x2000 AlMg1 HH14,1,M2,28.96,0,0.138,M2,4,CHF,CH10 1050102,,Preis aus Einkaufsinfosatz,Rohmaterial,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0.05,H,4.31,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Malerei Kleinkomponenten,1,H,86.25,0,0,H,0,CHF,21040101   21040101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Zuschlag MGK,,,0,,,,0.31,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,1.39,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Winkelverschraubung  M6 D=4mm,1,ST,3.24,0,4,ST,12.97,CHF,CH10 10143311,,Preis aus Einkaufsinfosatz,Zukaufteile,
Schlauchsatz  +B8 SchneidbrÅcke,1,ST,19,0,1,ST,19,CHF,CH10 10173117,,Preis aus Einkaufsinfosatz,Zukaufteile,
Schneidwagen,1,ST,3036.2,0,1,ST,3036.2,CHF,CH10 10170082,,Preis aus Einkaufsinfosatz,Zukaufteile,
Schlitten,1,ST,293.89,5,1,ST,293.89,CHF,CH10 10178066,,,Eigenfertigung,X
,,,,,,,,,,,,,
Fertigung Hermle C32 U,1,H,80,0,0.06,H,4.8,CHF,21033502   21033502 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Fertigung Hermle C32 U,1,H,80,0,0.75,H,60,CHF,21033502   21033502 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
"Alu-Zuschnitt  80x200x275mm  AlMg4,5Mn",1,ST,182.72,0,1,ST,182.72,CHF,CH10 10179347,,Preis aus Einkaufsinfosatz,Zukaufteile,
Fabrikation in Prozess Kontrolle Contura,1,H,60,0,0.15,H,9,CHF,210300     21033603 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Fabrikation in Prozess Kontrolle Contura,1,H,60,0,0,H,0,CHF,210300     21033603 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Fabrikation Mechanik Handarbeit,1,H,62.41,0,0,H,0,CHF,21033404   21033404 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Fabrikation Mechanik Handarbeit,1,H,62.41,0,0.05,H,3.12,CHF,21033404   21033404 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Zuschlag MGK,,,0,,,,14.25,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,20,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Halter,1,ST,77.04,8,1,ST,77.04,CHF,CH10 10068240,,,Eigenfertigung,X
,,,,,,,,,,,,,
Fabrikation Mandelli,1,H,79.69,0,0,H,0,CHF,21033501   21033501 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Fabrikation Mandelli,1,H,79.69,0,0.5,H,39.85,CHF,21033501   21033501 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Alu-Zuschnitt  50x170x110  AlSi1MgMn,1,ST,24.89,0,1,ST,24.89,CHF,CH10 10061859,,Bewertungspreis mit USER-EXIT,Zukaufteile,
Zuschlag MGK,,,0,,,,1.94,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,10.36,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Mitnehmer,1,ST,42.71,40,1,ST,42.71,CHF,CH10 10068236,,,Eigenfertigung,X
,,,,,,,,,,,,,
Fabrikation Zuschnitt,1,H,57.29,0,0.006,H,0.36,CHF,21033403   21033403 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Fabrikation Zuschnitt,1,H,57.29,0,0.06,H,3.44,CHF,21033403   21033403 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
4kt-Alu  70/70 EN AW-Al Si1MgMn,"       1,000",MM,124.9,0,58,MM,7.24,CHF,CH10 1101870,,Preis aus Einkaufsinfosatz,Rohmaterial,
Fabrikation Mandelli,1,H,79.69,0,0,H,0,CHF,21033501   21033501 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Fabrikation Mandelli,1,H,79.69,0,0.3,H,23.91,CHF,21033501   21033501 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Zuschlag MGK,,,0,,,,0.57,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,7.2,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Kupplungsflansch,1,ST,34.08,50,1,ST,34.08,CHF,CH10 3-09150,,,Eigenfertigung,X
,,,,,,,,,,,,,
Okuma,1,H,90.78,0,0.02,H,1.82,CHF,21033104   21033104 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Okuma,1,H,90.78,0,0.12,H,10.89,CHF,21033104   21033104 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Alukokillenguss  AC 65 KUPPLUNGSFLANSCH,10,ST,154.5,0,1,ST,15.45,CHF,CH10 1401914,,Preis aus Einkaufsinfosatz,Rohmaterial,
Teilereinigungsanlage DöRR,1,H,101.89,0,0.011,H,1.12,CHF,210507     21050101 MMONT,,Plantarif der Periode,ILV Maschinenstunden Montage,
Zuschlag MGK,,,0,,,,1.21,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,3.6,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Halter,1,ST,15.65,60,1,ST,15.65,CHF,CH10 10068241,,,Eigenfertigung,X
,,,,,,,,,,,,,
Fabrikation Zuschnitt,1,H,57.29,0,0.004,H,0.24,CHF,21033403   21033403 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Fabrikation Zuschnitt,1,H,57.29,0,0.05,H,2.86,CHF,21033403   21033403 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
4kt-Alu  60/60 EN AW-Al Si1MgMn,"       1,000",MM,95.65,0,33,MM,3.16,CHF,CH10 1101860,,Preis aus Einkaufsinfosatz,Rohmaterial,
Fabrikation Mandelli,1,H,79.69,0,0,H,0,CHF,21033501   21033501 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Fabrikation Mandelli,1,H,79.69,0,0.083,H,6.61,CHF,21033501   21033501 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Zuschlag MGK,,,0,,,,0.25,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,2.53,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Abdeckung,1,ST,7.61,5,1,ST,7.61,CHF,CH10 10173574,,,Eigenfertigung,X
,,,,,,,,,,,,,
Laserzentrum ByVention,1,H,104.33,0,0,H,0,CHF,21032101   21032103 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Laserzentrum ByVention,1,H,104.33,0,0.008,H,0.83,CHF,21032101   21032103 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Blechtafel  2.0x1000x2000 AlMg1 HH14,1,M2,28.97,0,0.038,M2,1.1,CHF,CH10 1050102,,Preis aus Einkaufsinfosatz,Rohmaterial,
Abkanten Xpert 2,1,H,71.16,0,0.03,H,2.13,CHF,21032201   21032203 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Abkanten Xpert 2,1,H,71.16,0,0.03,H,2.13,CHF,21032201   21032203 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Zuschlag MGK,,,0,,,,0.09,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,1.33,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Abdeckung,1,ST,6.46,5,2,ST,12.91,CHF,CH10 10178068,,,Eigenfertigung,X
,,,,,,,,,,,,,
Laserzentrum ByVention,1,H,104.33,0,0,H,0,CHF,21032101   21032103 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Laserzentrum ByVention,1,H,104.33,0,0.02,H,2.09,CHF,21032101   21032103 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Blechtafel  2.0x1000x2000 AlMg1 HH14,1,M2,29.02,0,0.042,M2,1.22,CHF,CH10 1050102,,Preis aus Einkaufsinfosatz,Rohmaterial,
Abkanten Xpert,1,H,71.16,0,0.06,H,4.27,CHF,21032201   21032201 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Abkanten Xpert,1,H,71.16,0,0.04,H,2.85,CHF,21032201   21032201 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Zuschlag MGK,,,0,,,,0.1,CHF,900995 10501,,,Zuschlag Materialgemeinkosten MGK,
Zuschlag PGK,,,0,,,,2.39,CHF,900996 10502,,,Zuschlag Produktionsgemeinkosten,
,,,,,,,,,,,,,
Abdeckung,1,ST,7.3,5,1,ST,7.3,CHF,CH10 10173575,,,Eigenfertigung,X
,,,,,,,,,,,,,
